Date,Open,Highest,Lowest,Close,Range,Range%,Trade,Volume
31/05/2016,3068.596,3170.926,3068.596,3169.559,102.85,3.3538,13886311100,1.51E+11
30/05/2016,3056.313,3075.261,3037.664,3066.709,4.21,0.1375,6309857900,63496565009
27/05/2016,3059.732,3073.756,3052.179,3062.499,-1.712,-0.0559,6046875000,59371777079
26/05/2016,3056.6,3072.524,3027.444,3064.211,4.986,0.163,6039298100,65985183919
25/05/2016,3079.748,3089.102,3054.869,3059.225,-4.33,-0.1413,5665280300,63316562530
24/05/2016,3083.244,3083.257,3052.59,3063.555,-23.667,-0.7666,5873438500,61106015446
23/05/2016,3078.515,3098.478,3076.503,3087.222,9.004,0.2925,5969721600,70337514484
20/05/2016,3047.777,3078.531,3041.516,3078.218,15.718,0.5132,5608084200,65124251092
19/05/2016,3060.342,3086.977,3058.145,3062.5,-5.535,-0.1804,6044416600,68679060392
18/05/2016,3071.529,3072.612,3039.461,3068.035,-17.989,-0.5829,8271536900,88458847115
17/05/2016,3095.522,3105.201,3073.459,3086.024,-9.284,-0.2999,6527812500,75389385458
16/05/2016,3064.526,3095.555,3053.661,3095.308,20.373,0.6626,5946185600,64405200020
13/05/2016,3081.679,3103.095,3064.691,3074.935,-15.202,-0.492,6262975500,65850995649
12/05/2016,3059.383,3095.348,3035.022,3090.137,7.329,0.2377,7876572600,81418792606
11/05/2016,3080.636,3102.876,3063.088,3082.808,13.696,0.4463,8179425800,87323408342
10/05/2016,3055.211,3084.724,3055.183,3069.112,3.497,0.1141,6884993500,70650764147
09/05/2016,3115.43,3115.43,3055.005,3065.615,-64.739,-2.0681,9923047700,1.00E+11
06/05/2016,3213.136,3216.893,3130.147,3130.354,-83.566,-2.6001,10868024000,1.19E+11
05/05/2016,3204.169,3217.282,3196.566,3213.92,4.459,0.1389,7473368100,83946496908
04/05/2016,3203.465,3222.882,3198.292,3209.461,-4.079,-0.1269,9086240800,97797134813
03/05/2016,3159.823,3218.485,3151.405,3213.54,56.795,1.7992,9816483500,1.16E+11
